,year,title,speaker
169,1990,組閣（第二次）に際して（海部内閣総理大臣）,海部俊樹
170,1990,シン首相主催晩餐会における海部内閣総理大臣の挨拶,海部俊樹
171,1990,ニューデリーにおける海部俊樹内閣総理大臣政策演説「日本と南西アジア—平和と繁栄のための対話と協力関係を求めて」,海部俊樹
172,1990,エルシャド大統領主催晩餐会における海部内閣総理大臣の挨拶,海部俊樹
173,1990,メグナ橋完工式における海部内閣総理大臣の挨拶,海部俊樹
174,1990,ブットー首相主催晩餐会における海部内閣総理大臣の挨拶,海部俊樹
175,1990,プレマダーサ大統領ご夫妻主催晩餐会における海部内閣総理大臣の挨拶,海部俊樹
176,1990,ジョージア日米協会主催晩餐会における海部俊樹内閣総理大臣演説,海部俊樹
177,1990,第六十七回夏期全国経営者大会における特別講演，「二十一世紀への日本の選択」（海部内閣総理大臣）,海部俊樹
178,1990,第九回自由民主党軽井沢セミナーにおける講演，内政の四本柱と真正面から取り組む（海部内閣総理大臣）,海部俊樹
179,1990,第十四回全国研修会における講演，二十一世紀への世界平和と安定を目指して（海部内閣総理大臣）,海部俊樹
180,1990,即位礼正殿の儀における海部内閣総理大臣の寿詞,海部俊樹
181,1990,天皇陛下御即位奉祝大パレードにおける海部内閣総理大臣の祝辞,海部俊樹
182,1991,湾岸危機に関する資料，湾岸危機に関連する重大緊急事態への対処についての海部内閣総理大臣演説,海部俊樹
183,1991,第五十三回自由民主党大会における海部内閣総理大臣の挨拶,海部俊樹
184,1991,自由民主党婦人部活動者研修会における海部内閣総理大臣の基調講演,海部俊樹
185,1991,ＡＳＥＡＮ諸国訪問における海部俊樹内閣総理大臣政策演説（日本とＡＳＥＡＮ—新時代の成熟したパートナーシップを求めて）,海部俊樹
186,1991,国連軍縮京都会議における海部俊樹内閣総理大臣演説,海部俊樹
187,1991,第十六回共同通信加盟社編集局長会議における海部内閣総理大臣の特別講演,海部俊樹
